135 6 4
5000 5 50 500
filename num_threads num_ops num_float_ops num_comp_ops num_lambda_iter deepest_loop_level num_int_var num_float_var num_if_stmts num_if_stmts_in_loop time(5000) time(5) time(50) time(500)
../functions/mat_mat4.hpp 18 60204 40000 20102 100 2 2 0 10000 10000 0.0207409 0.0169808 0.008269 0.0107373 
../functions/mat_mat4.hpp 20 60204 40000 20102 100 2 2 0 10000 10000 0.0200016 0.0176894 0.0094285 0.010284 
../functions/mat_mat4.hpp 22 60204 40000 20102 100 2 2 0 10000 10000 0.0206993 0.0168611 0.00843655 0.0112787 
../functions/mat_mat4.hpp 24 60204 40000 20102 100 2 2 0 10000 10000 0.019863 0.0183022 0.00767695 0.00928938 
../functions/mat_mat4.hpp 26 60204 40000 20102 100 2 2 0 10000 10000 0.0191844 0.0157653 0.00841992 0.0121244 
../functions/mat_mat4.hpp 28 60204 40000 20102 100 2 2 0 10000 10000 0.0224 0.0165203 0.00858342 0.0134116 
../functions/mat_mat4.hpp 30 60204 40000 20102 100 2 2 0 10000 10000 0.0240556 0.0183664 0.00899235 0.0119324 
../functions/mat_mat4.hpp 32 60204 40000 20102 100 2 2 0 10000 10000 0.0209814 0.0158184 0.0060324 0.0112912 
../functions/mat_mat5.hpp 1 4004004 2002000 1002002 1000 2 2 0 1000 1000 12.2296 12.242 12.069 11.7034 
../functions/mat_mat5.hpp 2 4004004 2002000 1002002 1000 2 2 0 1000 1000 6.52244 6.08166 6.2033 6.15785 
../functions/mat_mat5.hpp 4 4004004 2002000 1002002 1000 2 2 0 1000 1000 3.94928 3.84881 3.85893 6.5244 
../functions/mat_mat5.hpp 6 4004004 2002000 1002002 1000 2 2 0 1000 1000 3.14208 3.08389 3.48468 7.05779 
../functions/mat_mat5.hpp 8 4004004 2002000 1002002 1000 2 2 0 1000 1000 2.47364 2.36865 2.68521 7.26956 
../functions/mat_mat5.hpp 10 4004004 2002000 1002002 1000 2 2 0 1000 1000 2.32456 2.40353 2.36605 6.89538 
../functions/mat_mat5.hpp 12 4004004 2002000 1002002 1000 2 2 0 1000 1000 2.41981 2.41633 2.22755 7.11181 
../functions/mat_mat5.hpp 14 4004004 2002000 1002002 1000 2 2 0 1000 1000 2.19272 2.13178 2.37873 7.18724 
../functions/mat_mat5.hpp 16 4004004 2002000 1002002 1000 2 2 0 1000 1000 2.3494 2.34407 2.39162 7.17938 
../functions/mat_mat5.hpp 18 4004004 2002000 1002002 1000 2 2 0 1000 1000 2.38188 2.3096 2.59055 7.60726 
../functions/mat_mat5.hpp 20 4004004 2002000 1002002 1000 2 2 0 1000 1000 2.41596 2.23639 2.20184 7.42791 
../functions/mat_mat5.hpp 22 4004004 2002000 1002002 1000 2 2 0 1000 1000 2.45962 2.34135 2.164 7.66066 
../functions/mat_mat5.hpp 24 4004004 2002000 1002002 1000 2 2 0 1000 1000 2.29459 2.30835 2.32994 7.51981 
../functions/mat_mat5.hpp 26 4004004 2002000 1002002 1000 2 2 0 1000 1000 2.47718 2.24981 2.38151 7.6234 
../functions/mat_mat5.hpp 28 4004004 2002000 1002002 1000 2 2 0 1000 1000 2.4 2.29027 2.19593 7.78885 
../functions/mat_mat5.hpp 30 4004004 2002000 1002002 1000 2 2 0 1000 1000 2.4405 2.4009 2.16193 7.87435 
../functions/mat_mat5.hpp 32 4004004 2002000 1002002 1000 2 2 0 1000 1000 2.43406 2.329 2.23669 8.04347 
../functions/mat_mat6.hpp 1 1001006 500000 250503 500 2 2 0 1 0 0.520912 0.437811 0.369644 0.365344 
../functions/mat_mat6.hpp 2 1001006 500000 250503 500 2 2 0 1 0 0.316676 0.289587 0.265276 0.379906 
../functions/mat_mat6.hpp 4 1001006 500000 250503 500 2 2 0 1 0 0.249174 0.237015 0.249264 0.417243 
../functions/mat_mat6.hpp 6 1001006 500000 250503 500 2 2 0 1 0 0.206185 0.176045 0.197238 0.462281 
../functions/mat_mat6.hpp 8 1001006 500000 250503 500 2 2 0 1 0 0.249586 0.250665 0.256888 0.456933 
../functions/mat_mat6.hpp 10 1001006 500000 250503 500 2 2 0 1 0 0.344926 0.325848 0.317555 0.44172 
../functions/mat_mat6.hpp 12 1001006 500000 250503 500 2 2 0 1 0 0.383544 0.378054 0.389322 0.469534 
../functions/mat_mat6.hpp 14 1001006 500000 250503 500 2 2 0 1 0 0.457035 0.439961 0.374591 0.474781 
../functions/mat_mat6.hpp 16 1001006 500000 250503 500 2 2 0 1 0 0.42603 0.43728 0.352018 0.522146 
../functions/mat_mat6.hpp 18 1001006 500000 250503 500 2 2 0 1 0 0.426788 0.426139 0.296962 0.48093 
../functions/mat_mat6.hpp 20 1001006 500000 250503 500 2 2 0 1 0 0.482208 0.438165 0.334933 0.493492 
../functions/mat_mat6.hpp 22 1001006 500000 250503 500 2 2 0 1 0 0.460865 0.431736 0.397338 0.609706 
../functions/mat_mat6.hpp 24 1001006 500000 250503 500 2 2 0 1 0 0.434524 0.41731 0.417098 0.611315 
../functions/mat_mat6.hpp 26 1001006 500000 250503 500 2 2 0 1 0 0.446489 0.430656 0.374478 0.491183 
../functions/mat_mat6.hpp 28 1001006 500000 250503 500 2 2 0 1 0 0.47813 0.441305 0.401814 0.609378 
../functions/mat_mat6.hpp 30 1001006 500000 250503 500 2 2 0 1 0 0.458327 0.44348 0.424642 0.498818 
../functions/mat_mat6.hpp 32 1001006 500000 250503 500 2 2 0 1 0 0.472105 0.443663 0.265404 0.618812 
../functions/mat_mat.hpp 1 4002004 2000000 1001002 1000 2 2 0 0 0 12.0008 11.761 11.7954 11.8733 
../functions/mat_mat.hpp 2 4002004 2000000 1001002 1000 2 2 0 0 0 6.58077 6.37785 6.52933 6.40299 
../functions/mat_mat.hpp 4 4002004 2000000 1001002 1000 2 2 0 0 0 4.20865 3.97364 4.06238 6.84377 
