filename num_threads num_ops num_float_ops num_comp_ops num_lambda_iter deepest_loop_level num_int_var num_float_var num_if_stmts num_if_stmts_in_loop time_seq(s) time_par(s)
../functions/mat_mat3.hpp 30 40204 20000 10102 100 2 2 0 0 0 0.0125692 0.0200354
../functions/mat_mat3.hpp 32 40204 20000 10102 100 2 2 0 0 0 0.0131549 0.021382
../functions/mat_mat4.hpp 1 40204 20000 10102 100 2 2 0 0 0 0.0109225 0.00988666
../functions/mat_mat4.hpp 2 40204 20000 10102 100 2 2 0 0 0 0.0108953 0.00944331
../functions/mat_mat4.hpp 4 40204 20000 10102 100 2 2 0 0 0 0.0106837 0.00810927
../functions/mat_mat4.hpp 6 40204 20000 10102 100 2 2 0 0 0 0.0108507 0.0107616
../functions/mat_mat4.hpp 8 40204 20000 10102 100 2 2 0 0 0 0.0102398 0.0133792
../functions/mat_mat4.hpp 10 40204 20000 10102 100 2 2 0 0 0 0.0104496 0.0207356
../functions/mat_mat4.hpp 12 40204 20000 10102 100 2 2 0 0 0 0.0105138 0.020547
../functions/mat_mat4.hpp 14 40204 20000 10102 100 2 2 0 0 0 0.00608394 0.0197541
../functions/mat_mat4.hpp 16 40204 20000 10102 100 2 2 0 0 0 0.0098817 0.0227088
../functions/mat_mat4.hpp 18 40204 20000 10102 100 2 2 0 0 0 0.0101626 0.0210856
../functions/mat_mat4.hpp 20 40204 20000 10102 100 2 2 0 0 0 0.00983854 0.0186085
../functions/mat_mat4.hpp 22 40204 20000 10102 100 2 2 0 0 0 0.0134308 0.0220036
../functions/mat_mat4.hpp 24 40204 20000 10102 100 2 2 0 0 0 0.0122532 0.0306105
../functions/mat_mat4.hpp 26 40204 20000 10102 100 2 2 0 0 0 0.0116358 0.0223589
../functions/mat_mat4.hpp 28 40204 20000 10102 100 2 2 0 0 0 0.0123023 0.0198699
../functions/mat_mat4.hpp 30 40204 20000 10102 100 2 2 0 0 0 0.0119639 0.021532
../functions/mat_mat4.hpp 32 40204 20000 10102 100 2 2 0 0 0 0.0106378 0.0205898
../functions/mat_mat5.hpp 1 4002004 2000000 1001002 1000 2 2 0 0 0 0.0105495 0.00953927
../functions/mat_mat5.hpp 2 4002004 2000000 1001002 1000 2 2 0 0 0 0.0106829 0.00855681
../functions/mat_mat5.hpp 4 4002004 2000000 1001002 1000 2 2 0 0 0 0.0108181 0.00957154
../functions/mat_mat5.hpp 6 4002004 2000000 1001002 1000 2 2 0 0 0 0.00964459 0.00948263
../functions/mat_mat5.hpp 8 4002004 2000000 1001002 1000 2 2 0 0 0 0.0100565 0.0119963
../functions/mat_mat5.hpp 10 4002004 2000000 1001002 1000 2 2 0 0 0 0.0104074 0.0207019
../functions/mat_mat5.hpp 12 4002004 2000000 1001002 1000 2 2 0 0 0 0.0100038 0.0178153
../functions/mat_mat5.hpp 14 4002004 2000000 1001002 1000 2 2 0 0 0 0.00923071 0.0218736
../functions/mat_mat5.hpp 16 4002004 2000000 1001002 1000 2 2 0 0 0 0.0104038 0.0219464
../functions/mat_mat5.hpp 18 4002004 2000000 1001002 1000 2 2 0 0 0 0.0102121 0.0243696
../functions/mat_mat5.hpp 20 4002004 2000000 1001002 1000 2 2 0 0 0 0.0103755 0.0212888
../functions/mat_mat5.hpp 22 4002004 2000000 1001002 1000 2 2 0 0 0 0.0131832 0.0189091
../functions/mat_mat5.hpp 24 4002004 2000000 1001002 1000 2 2 0 0 0 0.013546 0.0211641
../functions/mat_mat5.hpp 26 4002004 2000000 1001002 1000 2 2 0 0 0 0.00824386 0.0213119
../functions/mat_mat5.hpp 28 4002004 2000000 1001002 1000 2 2 0 0 0 0.0123641 0.0216207
../functions/mat_mat5.hpp 30 4002004 2000000 1001002 1000 2 2 0 0 0 0.0121565 0.0220122
../functions/mat_mat5.hpp 32 4002004 2000000 1001002 1000 2 2 0 0 0 0.011837 0.0205882
../functions/mat_mat6.hpp 1 1001006 500000 250503 500 2 2 0 1 0 0.511096 0.436767
../functions/mat_mat6.hpp 2 1001006 500000 250503 500 2 2 0 1 0 0.522332 0.304842
../functions/mat_mat6.hpp 4 1001006 500000 250503 500 2 2 0 1 0 0.519066 0.252957
../functions/mat_mat6.hpp 6 1001006 500000 250503 500 2 2 0 1 0 0.525726 0.214093
../functions/mat_mat6.hpp 8 1001006 500000 250503 500 2 2 0 1 0 0.468941 0.203569
../functions/mat_mat6.hpp 10 1001006 500000 250503 500 2 2 0 1 0 0.510192 0.36756
../functions/mat_mat6.hpp 12 1001006 500000 250503 500 2 2 0 1 0 0.518437 0.416977
../functions/mat_mat6.hpp 14 1001006 500000 250503 500 2 2 0 1 0 0.519256 0.451601
../functions/mat_mat6.hpp 16 1001006 500000 250503 500 2 2 0 1 0 0.611905 0.423442
../functions/mat_mat6.hpp 18 1001006 500000 250503 500 2 2 0 1 0 0.517797 0.431981
../functions/mat_mat6.hpp 20 1001006 500000 250503 500 2 2 0 1 0 0.647139 0.43049
